date,IPG3113N
2007-07-01,91.10238257168338
2007-08-01,100.29651068147524
2007-09-01,109.59010818794924
2007-10-01,115.3582346379204
2007-11-01,117.821400501142
2007-12-01,120.09401655626164
2008-01-01,108.2558600557468
2008-02-01,101.38268453520529
2008-03-01,96.90825945533514
2008-04-01,91.6650437974939
2008-05-01,88.81668369430938
2008-06-01,88.97287861038457
2008-07-01,85.1332200820323
2008-08-01,88.59647283117268
2008-09-01,103.30476084900526
2008-10-01,114.04825464165552
2008-11-01,115.80824377592222
2008-12-01,101.66711108314784
2009-01-01,89.76943273481918
2009-02-01,88.81798198964759
2009-03-01,85.37030878456586
2009-04-01,79.51150139866355
2009-05-01,80.04370261846195
2009-06-01,79.36469415657243